entA	entB	We
10006	9454	1
10006	999	1
10006	7168	1
10006	70	1
10006	8867	1
10006	3916	1
10006	9729	1
6457	7431	1
6457	3064	1
6457	23176	1
6457	2534	1
6457	2010	1
6457	4715	1
6457	396	1
6457	10570	1
6457	6709	1
6457	57030	1
6457	80331	1
6457	3192	1
6457	8867	1
6457	9568	1
3178	3184	1
3178	9796	1
3178	3183	1
3178	3181	1
3178	4000	1
3178	7920	1
3178	220988	1
1459	1460	1
1459	1457	1
1459	5034	1
1459	9463	1
1459	19	1
1459	3006	1
1460	1457	1
1460	1173	1
1460	6453	1
1460	5499	1
1460	2932	1
1460	60	1
1460	5210	1
1460	6622	1
1460	4067	1
1460	1454	1
1460	5501	1
1460	85358	1
1460	5515	1
1460	6137	1
1460	801	1
1460	10724	1
1460	773	1
1460	1786	1
1460	347733	1
1460	128	1
1460	10681	1
1460	10120	1
1460	118	1
1460	11004	1
1460	6125	1
1460	5500	1
1460	5519	1
1460	5518	1
1460	5529	1
1460	5528	1
1460	156	1
1460	4355	1
1460	5756	1
1460	3692	1
1460	5187	1
1460	8864	1
1460	7155	1
1460	5306	1
1460	975	1
1460	6389	1
1460	7416	1
1460	5096	1
1460	55690	1
1460	9948	1
1460	221545	1
1460	5481	1
1460	8473	1
1457	348	1
1457	2904	1
1457	5594	1
1457	5814	1
1457	5684	1
1457	5685	1
1457	4904	1
1457	1936	1
1457	6176	1
1457	3320	1
1457	26135	1
1457	6421	1
1457	4734	1
1457	3183	1
1457	27316	1
1457	6622	1
1457	6711	1
1457	6709	1
1457	4137	1
1457	10059	1
1457	6137	1
1457	801	1
1457	3181	1
1457	7323	1
1457	55611	1
1457	10910	1
1457	4627	1
1457	10130	1
1457	10992	1
1457	164592	1
1457	5567	1
1457	3326	1
1457	6125	1
1457	10923	1
1457	11333	1
1457	23122	1
1457	81892	1
1457	821	1
1457	3482	1
1457	8674	1
1457	79869	1
1457	4735	1
1457	498	1
1457	146705	1
1457	79169	1
1457	5007	1
1457	6128	1
1457	3308	1
1457	27044	1
1457	6188	1
1457	9318	1
1457	3191	1
1457	8396	1
1457	490	1
1457	64423	1
1457	6175	1
1457	57448	1
1457	84152	1
1457	7343	1
1457	7153	1
1457	5230	1
1457	92140	1
1457	6222	1
1457	8473	1
1457	7504	1
1457	92675	1
1457	4676	1
1457	55753	1
1457	80198	1
529	226	1
529	229	1
529	230	1
529	534	1
529	9550	1
7919	10382	1
7919	29888	1
7919	10381	1
7919	999	1
7919	70	1
1838	9463	1
1838	5575	1
1838	3798	1
1838	3866	1
1838	7415	1
1838	81565	1
1838	23281	1
1838	8495	1
3184	5034	1
3184	10989	1
3184	2316	1
3184	3190	1
3184	4904	1
3184	60	1
3184	3183	1
3184	10492	1
3184	4137	1
3184	3181	1
3184	7316	1
3184	3921	1
3184	1508	1
3184	58155	1
3184	5906	1
3184	5604	1
3184	10801	1
3184	3192	1
3184	70	1
3184	10097	1
3184	6520	1
3184	4131	1
3184	975	1
3184	1938	1
3184	7384	1
3184	378	1
3184	708	1
3184	51596	1
348	5621	1
348	71	1
348	6622	1
348	7001	1
348	11140	1
348	2	1
348	6009	1
348	6767	1
348	4035	1
348	2193	1
348	55738	1
348	9361	1
348	53822	1
348	6124	1
348	5110	1
348	9922	1
348	90580	1
348	3931	1
4684	5621	1
4684	3845	1
4684	6009	1
4684	7345	1
1804	5621	1
4685	5621	1
4685	3183	1
1272	5621	1
1272	5499	1
1272	5803	1
4099	5621	1
4340	5621	1
5621	1191	1
5621	5034	1
5621	3897	1
5621	334	1
5621	3309	1
5621	2273	1
5621	5684	1
5621	5693	1
5621	2915	1
5621	9659	1
5621	11091	1
5621	1267	1
5621	4000	1
5621	4045	1
5621	50863	1
5621	22872	1
5621	2631	1
5621	1410	1
5621	7745	1
5621	8495	1
5621	471	1
5621	526	1
5621	8745	1
5621	4978	1
1191	5305	1
1191	5575	1
1191	3320	1
1191	1743	1
1191	5601	1
1191	23043	1
1191	9349	1
1191	10728	1
1191	128	1
1191	87	1
1191	3326	1
1191	55082	1
1191	5536	1
1191	200734	1
1191	11130	1
1191	6252	1
1191	65018	1
1191	117	1
1191	8462	1
1191	7266	1
5034	29979	1
5034	4137	1
5034	2023	1
5034	10549	1
5034	50863	1
5034	5479	1
3897	57524	1
3897	8682	1
3897	5361	1
334	3845	1
334	3006	1
3309	5792	1
3309	5799	1
3309	10961	1
3309	3146	1
3309	7316	1
3309	1832	1
3309	4628	1
3309	10130	1
3309	3925	1
3309	51726	1
3309	7184	1
3309	999	1
3309	10525	1
3309	6139	1
3309	6122	1
3309	56896	1
3309	6533	1
3309	7873	1
58512	1739	1
58512	1741	1
58512	2801	1
58512	2534	1
58512	1740	1
58512	22941	1
58512	6714	1
58512	85358	1
58512	25	1
58512	1398	1
22839	1739	1
22839	1741	1
22839	2534	1
22839	22941	1
22839	6714	1
22839	3845	1
22839	85358	1
22839	25	1
22839	1398	1
22839	274	1
22839	23281	1
22839	7316	1
22839	9368	1
22839	84152	1
1739	2904	1
